F, epochs, epsilon, B, weightcost, momentum, trRSME, vlRSME
4, 1, 0.01, 20, 0.0005, 0.3, 1.1649285988, 1.20814616828
4, 2, 0.01, 20, 0.0005, 0.3, 1.12974329296, 1.18152944449
4, 3, 0.01, 20, 0.0005, 0.3, 1.0849666945, 1.16358562913
4, 4, 0.01, 20, 0.0005, 0.3, 1.06279096265, 1.15838291096
4, 5, 0.01, 20, 0.0005, 0.3, 1.0553804814, 1.15654082125
4, 6, 0.01, 20, 0.0005, 0.3, 1.04797867853, 1.14992931026
4, 7, 0.01, 20, 0.0005, 0.3, 1.03836879659, 1.14499689512
4, 8, 0.01, 20, 0.0005, 0.3, 1.0359924507, 1.15544098602
4, 9, 0.01, 20, 0.0005, 0.3, 1.03555623771, 1.16248977543
4, 10, 0.01, 20, 0.0005, 0.3, 1.03531992758, 1.1740999961
4, 11, 0.01, 20, 0.0005, 0.3, 1.02850891323, 1.16953233348
4, 12, 0.01, 20, 0.0005, 0.3, 1.02282199563, 1.16241383282
4, 13, 0.01, 20, 0.0005, 0.3, 1.02334502945, 1.1566473619
4, 14, 0.01, 20, 0.0005, 0.3, 1.01762249319, 1.14992364497
4, 15, 0.01, 20, 0.0005, 0.3, 1.01983879718, 1.15098338565
4, 16, 0.01, 20, 0.0005, 0.3, 1.0227758108, 1.15662482847
4, 17, 0.01, 20, 0.0005, 0.3, 1.02207237176, 1.15765594613
4, 18, 0.01, 20, 0.0005, 0.3, 1.02246941318, 1.16757868302
4, 19, 0.01, 20, 0.0005, 0.3, 1.02271187657, 1.16846296965
4, 20, 0.01, 20, 0.0005, 0.3, 1.02665870908, 1.17561109091
4, 21, 0.01, 20, 0.0005, 0.3, 1.02316853045, 1.17232081311
4, 22, 0.01, 20, 0.0005, 0.3, 1.02264280868, 1.17414608731
4, 23, 0.01, 20, 0.0005, 0.3, 1.01722185131, 1.16913500363
4, 24, 0.01, 20, 0.0005, 0.3, 1.01528444773, 1.17027838954
4, 25, 0.01, 20, 0.0005, 0.3, 1.00870357346, 1.17069801347
4, 26, 0.01, 20, 0.0005, 0.3, 1.00958290951, 1.17161234116
4, 27, 0.01, 20, 0.0005, 0.3, 1.00446818333, 1.17570054622
4, 28, 0.01, 20, 0.0005, 0.3, 1.00495987635, 1.18144407981
4, 29, 0.01, 20, 0.0005, 0.3, 1.00623831481, 1.18059608375
4, 30, 0.01, 20, 0.0005, 0.3, 1.0090275819, 1.17124700425
4, 31, 0.01, 20, 0.0005, 0.3, 1.00321256366, 1.17599938005
4, 32, 0.01, 20, 0.0005, 0.3, 1.00479743915, 1.17330045419
4, 33, 0.01, 20, 0.0005, 0.3, 1.00028791055, 1.17398328449
4, 34, 0.01, 20, 0.0005, 0.3, 0.996195193688, 1.17352416613
4, 35, 0.01, 20, 0.0005, 0.3, 0.996724101461, 1.17147860062
4, 36, 0.01, 20, 0.0005, 0.3, 0.993791340652, 1.16901589052
4, 37, 0.01, 20, 0.0005, 0.3, 0.998483284549, 1.16636976376
4, 38, 0.01, 20, 0.0005, 0.3, 0.996578339459, 1.17103487314
4, 39, 0.01, 20, 0.0005, 0.3, 0.9941630459, 1.16802755597
4, 40, 0.01, 20, 0.0005, 0.3, 0.994493356638, 1.1698564553
4, 41, 0.01, 20, 0.0005, 0.3, 0.994299849014, 1.17119662997
4, 42, 0.01, 20, 0.0005, 0.3, 0.994355772486, 1.16815689941
4, 43, 0.01, 20, 0.0005, 0.3, 0.995006734495, 1.16836820419
4, 44, 0.01, 20, 0.0005, 0.3, 0.993799486612, 1.1705747299
4, 45, 0.01, 20, 0.0005, 0.3, 0.992985549139, 1.16671740258
4, 46, 0.01, 20, 0.0005, 0.3, 0.99297774408, 1.17138211861
